Beam=1
Size,40,
Time,Length,Cost,Score,
0.04289093017578125,700.0,156.34472732672074,55339.96248961119,
0.042137861251831055,632,111.37908715987578,
0.026352882385253906,462,64.98882860178128,
0.06278014183044434,890,119.34830841841176,
0.018796920776367188,455,176.99747490565642,
0.06438684463500977,1061,309.0099375478785,

Size,55,
Time,Length,Cost,Score,
0.09949989318847656,1408.0,204.52232787944376,1.40095849609375,
0.0202639102935791,330,48.355714122299105,
0.1591329574584961,2355,243.26155216433108,
0.1292719841003418,1775,371.4232249301858,
0.049327850341796875,619,143.15703321481124,
0.13950276374816895,1961,216.41411496559158,

Size,70,
Time,Length,Cost,Score,
0.16131534576416015,2237.8,259.2769057857804,3.609914807510376,
0.1929008960723877,2693,464.68638335354626,
0.11601805686950684,1540,168.2873837929219,
0.276012659072876,3879,328.5440328391269,
0.06262397766113281,828,128.23698753956705,
0.15902113914489746,2249,206.6297414037399,

Size,85,
Time,Length,Cost,Score,
0.32027764320373536,3840.6,303.8829174989078,632033.5161374335,
0.27600812911987305,3414,322.36312879351317,
0.20371294021606445,2574,240.86962099419907,
0.4572789669036865,5204,295.3111014724709,
0.36700010299682617,4540,395.51331001566723,
0.29738807678222656,3471,265.3574262186885,

Size,100,
Time,Length,Cost,Score,
0.29007930755615235,4552.2,287.23954239054,13.20499023857117,
0.46912121772766113,7403,372.9477934789611,
0.1259760856628418,1736,165.74124118953478,
0.3669440746307373,6030,274.8435797756247,
0.31124305725097656,4917,296.91579217265826,
0.17711210250854492,2675,325.74930533592124,

Beam=2
Size,40,
Time,Length,Cost,Score,
0.024172496795654298,675.4,150.81076110141075,0.1632610433578491,
0.02649068832397461,775,183.80511364666745,
0.04466581344604492,1093,253.259133270476,
0.0019991397857666016,76,37.842108216136694,
0.028058767318725586,809,157.2283556049551,
0.019648075103759766,624,121.91909476881847,

Size,55,
Time,Length,Cost,Score,
0.05925860404968262,1549.8,223.09475865634158,185725.22615882373,
0.03132796287536621,869,165.8391531324014,
0.048681020736694336,1379,153.15988143207505,
0.08770108222961426,2420,434.6246630209498,
0.03851604461669922,1082,136.98727793991566,
0.09006690979003906,1999,224.86281775636598,

Size,70,
Time,Length,Cost,Score,
0.1241485595703125,2894.6,293.22387434821576,339473.27922855894,
0.14037394523620605,3163,270.31133815879,
0.16504287719726562,4136,349.88114547450095,
0.06147503852844238,1019,126.35041915811598,
0.12546777725219727,3333,442.1942322445102,
0.12838315963745117,2822,277.38223670516163,

Size,85,
Time,Length,Cost,Score,
0.11138267517089843,2651.4,286.58208374491153,459015.8312145556,
0.12073278427124023,2578,234.29106724681333,
0.07808589935302734,1942,174.78484404506162,
0.15904617309570312,3710,501.62070665799547,
0.09966158866882324,2352,258.59182597537074,
0.09938693046569824,2675,263.6219747993164,

Size,100,
Time,Length,Cost,Score,
0.25417327880859375,5947.6,341.9522707097931,547142.4004024612,
0.23745298385620117,6346,366.6573973320192,
0.23389792442321777,4745,311.1842593521578,
0.2914566993713379,7550,423.0451958201593,
0.3216056823730469,6531,317.08161767281126,
0.18645310401916504,4566,291.7928833718179,

Beam=3
Size,40,
Time,Length,Cost,Score,
0.032847929000854495,939.4,221.32702463386303,705162.9438979679,
0.03619575500488281,1102,167.6642304302986,
0.020689010620117188,620,419.6874730219133,
0.043096065521240234,1203,207.6820030203089,
0.03065180778503418,1038,136.70526085887104,
0.03360700607299805,734,174.8961558379233,

Size,55,
Time,Length,Cost,Score,
0.06717162132263184,1286.4,221.67893946995682,171566.98000086722,
0.023815155029296875,634,84.17130034882575,
0.10594391822814941,2141,240.59233073377982,
0.04682803153991699,815,249.11184751661494,
0.02473282814025879,481,270.35806844642866,
0.1345381736755371,2361,264.16115030413494,

Size,70,
Time,Length,Cost,Score,
0.12019057273864746,2671.8,312.8134044161998,535368.1975559162,
0.1864299774169922,3714,287.6090042106807,
0.01720714569091797,434,151.2144460575655,
0.10271191596984863,2634,225.76515789376572,
0.18625092506408691,3704,287.5534879602492,
0.1083528995513916,2873,611.9249259587377,

Size,85,
Time,Length,Cost,Score,
0.16345787048339844,4017.8,290.7543791702483,500742.39967799396,
0.15713977813720703,4338,257.2718141670339,
0.22301387786865234,4950,374.10300222574733,
0.10527372360229492,2914,206.99008878786117,
0.2538299560546875,5659,341.7415522132069,
0.07803201675415039,2228,273.66543845739216,

Size,100,
Time,Length,Cost,Score,
0.22491588592529296,5951.0,371.594175099337,843559.7118323414,
0.2571542263031006,7534,613.7355858780211,
0.2237260341644287,6279,277.7829415355518,
0.14946579933166504,4115,283.02358841567184,
0.3154902458190918,7890,404.3036771938205,
0.1787431240081787,3937,279.12508247361984,

Beam=4
Size,40,
Time,Length,Cost,Score,
0.03185262680053711,735.2,192.04431652324274,412335.7883988322,
0.01993703842163086,644,353.16431013168767,
0.02077507972717285,657,102.88385462248698,
0.05006885528564453,935,166.44117900403216,
0.039047956466674805,674,247.95774969505146,
0.0294342041015625,766,89.77448916295543,

Size,55,
Time,Length,Cost,Score,
0.07041187286376953,1520.2,264.06566544855013,595434.446092355,
0.10458540916442871,2363,254.68778689624742,
0.08209109306335449,1414,425.513764845673,
0.05783796310424805,1582,257.2909934911877,
0.036186933517456055,601,84.2355802282691,
0.07135796546936035,1641,298.60020178137347,

Size,70,
Time,Length,Cost,Score,
0.13371701240539552,2788.8,337.3310288367793,780544.9596100309,
0.1538710594177246,3655,295.28085028287023,
0.20389604568481445,3506,302.06181498477235,
0.06130576133728027,1506,273.9839270641096,
0.09694218635559082,2273,302.91970036458224,
