BFS
Size,40,
Time,Length,Cost,Score,
0.015118837356567383,1248.2,328.3527628732845,2719836.726303845,
0.02017498016357422,1326,338.0330965295434,
0.01321721076965332,1136,435.9765159105882,
0.010523080825805664,1067,398.63072499632835,
0.016202926635742188,1338,237.97047913074493,
0.015475988388061523,1374,231.1529977992177,

Size,55,
Time,Length,Cost,Score,
0.027681350708007812,1932.8,247.33970496058464,1244752.760187875,
0.028883934020996094,2077,289.3929877039045,
0.020734786987304688,1901,271.8827421963215,
0.01737809181213379,1405,135.16519661992788,
0.03080606460571289,2878,455.5680962651968,
0.0406038761138916,1403,84.68950201757252,

Size,70,
Time,Length,Cost,Score,
0.04573774337768555,3767.6,459.1700949696824,3390832.3708346607,
0.03858208656311035,3218,263.09911866206676,
0.05352592468261719,4539,579.47171067819,
0.04635190963745117,3892,393.5735997185111,
0.047158002853393555,3605,489.185602767393,
0.04307079315185547,3584,570.5204430222511,

DFS
Size,40,
Time,Length,Cost,Score,
0.010253000259399413,884.8,2916.447589083001,28600784.890406225,
0.005128383636474609,378,2982.259185053408,
0.015341758728027344,1496,2973.6864220770076,
0.018332958221435547,1528,3711.117448847799,
0.005307912826538086,562,1942.9437413838289,
0.007153987884521484,460,2972.2311480529606,

Size,55,
Time,Length,Cost,Score,
0.01385493278503418,717.2,4310.236740713473,41873722.6820592,
0.015839815139770508,1008,5620.322238928638,
0.039476871490478516,1217,7119.289455842227,
0.004146099090576172,376,2267.9366908362135,
0.0053098201751708984,558,3473.85580974631,
0.004502058029174805,427,3069.7795082139783,

Size,70,
Time,Length,Cost,Score,
0.03327922821044922,2533.6,11425.585190136984,113054982.44245498,
0.05204892158508301,2809,15927.434205811005,
0.045542001724243164,3897,7562.324440046214,
0.02937912940979004,2703,13112.717158634081,
0.024669170379638672,2129,13255.04365539411,
0.014756917953491211,1130,7270.406490799505,

A Star
Size,40,
Time,Length,Cost,Score,
0.012328338623046876,345.6,56.3691091142328,0.042606738281250014,
0.016537904739379883,553,62.905225528270705,
0.011918067932128906,265,99.61949112825096,
0.015104055404663086,305,42.78188015334308,
0.008547782897949219,209,31.678067496977746,
0.009533882141113281,396,44.860881264321506,

Size,55,
Time,Length,Cost,Score,
0.04660482406616211,1611.8,164.27471512183547,414103.07795179094,
0.020895957946777344,723,82.30878555215895,
0.036067962646484375,1347,119.21630879398435,
0.06562089920043945,2198,271.12781583797187,
0.07176923751831055,2541,229.83548141550273,
0.03867006301879883,1250,118.88518400955945,

Size,70,
Time,Length,Cost,Score,
0.07291440963745117,2261.8,135.98885328881443,159019.87998887865,
0.10356497764587402,2819,122.42640322074294,
0.11402106285095215,4065,183.96482554264367,
0.06562185287475586,1986,217.2055904660374,
0.07177519798278809,2078,100.58108036406338,
0.009588956832885742,361,55.766366850584745,

Dijkstras
Size,40,
Time,Length,Cost,Score,
0.008537483215332032,844.8,69.03864174016877,126695.39838401791,
0.004891157150268555,519,23.632815703749657,
0.013231754302978516,1286,144.45549307657103,
0.00763702392578125,956,58.27311557717621,
0.008475780487060547,887,49.345030188560486,
0.008451700210571289,576,69.48675415478647,

Size,55,
Time,Length,Cost,Score,
0.01813511848449707,1545.6,127.72563184531657,48611.774306438965,
0.008739709854125977,622,22.33756726142019,
0.009022951126098633,912,60.02021360942791,
0.020545005798339844,2124,146.89421012531966,
0.009673118591308594,1049,113.85023161768913,
0.042694807052612305,3021,295.52593661272596,

Size,70,
Time,Length,Cost,Score,
0.03066883087158203,3090.0,120.08703020773828,0.9476668739318848,
0.023223161697387695,2608,83.31985068973154,
0.012066125869750977,953,33.145154933445156,
0.04729509353637695,4832,203.76105672679842,
0.03648781776428223,3293,122.12665969505906,
0.034271955490112305,3764,158.08242899365723,

Bidirectional
Size,40,
Time,Length,Cost,Score,
0.009503602981567383,324.2,99.9035129128024,435344.0687963769,
0.01386713981628418,501,95.05044626072049,
0.006796121597290039,264,104.70769894775003,
0.006598711013793945,197,52.575724250636995,
0.015414953231811523,473,203.3085573045537,
0.0048410892486572266,186,43.875137800350785,

Size,55,
Time,Length,Cost,Score,
0.008985424041748047,274.2,122.8644824443118,0.024638032722473144,
0.009435892105102539,357,138.7645434308797,
0.01564788818359375,333,220.19437040934037,
0.006307125091552734,191,56.646894798614085,
0.008158206939697266,295,121.74562908243388,
0.005378007888793945,195,76.97097450029105,

Size,70,
Time,Length,Cost,Score,
0.03792562484741211,926.4,161.1176659623161,410306.70888876676,
0.014042854309082031,421,106.84990080539137,
0.040772199630737305,1068,183.5431829537265,
0.05046701431274414,1275,241.4081263751723,
0.04790210723876953,789,169.21573943458498,
0.03644394874572754,1079,104.57138024270535,

